Name,Topic
3359.csv,near dear heart healthy eater not particular food Italian restaurant restaurant Rome New York restaurants upstate New York mile eleven dollars potato salad soup nine yards street Dallas
2648.csv,Earth Day pollutants pollutants air channel thirteen programs not programs environment Earth population increases cars cars population industry pollution incredible not pollutants air Pillsbury plant town adjacent chemicals toxic chemicals dough flour runs inspectors normal basis not dumping Pillsbury plant plants
3050.csv,cause husband golfer six handicap twenty two years playing avid golfer clubs twenty years recently hook school University Rochester
4019.csv,Chuck pets home cat two years sassy tabby disposition Siamese cat girl reason two years neutered declawed scratch bites times
3500.csv,doctors lawyers whatnot national health insurance money money state Texas health insurance students doctors doctors doctors doctor premiums doctors no people sue lawyers sue ten thousand doctor
2078.csv,Sharon Nolan Ryan baseball million dollars football players football games beats Yankees years earlier list baseball teams cities cleaning played baseball
3028.csv,announce restaurant dining not price kitchen
3379.csv,Soviet Union United States struggle within Soviet Union people independence Gorbachev Communist KGB Soviet people CIA
2586.csv,boat shore catfish Colorado mountains mountain streams rivers no fly fisherman not highly proficient explain fly fly fishing not weight
3508.csv,recycling newspapers boys Resurrection Lutheran Church paper Boy Scout troop quit city Plano Plano volunteer mothers library
3382.csv,books chance newspaper pilot space equipment Gallagher comedians velcro
3061.csv,lose track cats dog indoor dog summer Cockapoo Cocker Spaniel Poodle companion shadow considerably not animal pet children pet dogs before
3595.csv,Arlington Texas Arlington Virginia Birmingham names country truth college four years no Grace Kelly
3054.csv,not camped years Tyler State Park Dangerfield Texas Tyler facilities children kids camp Dangerfield east further east south further north Michigan camping Michigan Michigan Colorado mountains parents campers parents campers tent comfortably
4079.csv,budget family tighter controlled budget not tight budget track month expenses month month maintain budget
3338.csv,family beautiful Texas two sisters Texas Austin Dallas Dallas Austin hills trees Texas
3018.csv,Thirtysomething comedy nights
3311.csv,twenty older Provo Utah Plano Texas UTD family vacations Arizona grandparents summer vacation Tempe family grandparents pool swimming swimming cousins grandparents cousins no
3979.csv,afternoon Doug pleasure chat Plano Texas list invasions Doug concerned country information organizations privacy people months sent business additional knowledge invasion privacy card company
3340.csv,drug testing Maryland Baltimore train conductors drugs terrible accidents five truck truck driver marijuana marijuana lunch cars Chesapeake Bay traffic fire field truck drivers drug tested drugs short
3365.csv,Donna officer Air Force Club Mexican food dinner party bachelor nah capability no motivation
3369.csv,new movie shows rent Dance With Wolves South Dakota June dad lives state capital Pierre buffalo herd scene
3040.csv,national deficit not income tax Texas Richardson reasons schools realizing schools
3057.csv,sake
2647.csv,parent child child experience college University Texas Austin students college thousand people cultures thousand students
3313.csv,discuss crime United States Richardson Maceo High School Dallas no mine college high school not rampages guns heavens crime prosecution impartial society street
3563.csv,Ron Ron Moore Dallas Maverick fan hurt bones Roy Tarpley Donald Carter owners management position playing national championship championship rebuilding phase Maverick fan Boston Celtics Boston Celtics situation team Boston Celtic fan Texas seventy four Dallas Dallas Mavericks games season ticket holder Cowboys kids school college Rolando Blackman Harper
2041.csv,exercise attitudes student person exercise aerobics structured outdoor sports bicycling mountaineering person structured resistance sake not
3012.csv,hello Plano hi generations hate
2645.csv,hobbies hobbies handicrafts handicrafts handicraft writing knows fifteen twenty percent numbers somewhat classified internal news news services six fifty ten percent six fifty sixty five twenty percent thirty
4050.csv,oops button Melanie Harrisville Utah family reunions family reunion boy
2008.csv,hi Cynthia dress business home sweats kids meeting client suit regular clothes wardrobe suits jackets blouses limited wardrobe part-time blouses scarves belts casual wear wear jeans shorts dress shorts
4080.csv,shot market Texas gun control Nebraska no total ban weapons
4056.csv,Honeywell Minneapolis vision dental medical professor no doubt Honeywell Army Research Institute government organization holidays two
2603.csv,task stationary bike regular bike bike outside stationary bike phones living room TV fish TV occupied watch TV bike bike not not health club people conscious not
3550.csv,car car Honda Accord business traveling cars Toyota Camry Nissan Maxima competitors
2667.csv,excuse not exercise beginning TI fitness center aerobics classes
2619.csv,metric system United States country metric system pounds inches found secret seeming centimeters kilograms most minute inch fifty four centimeters math centimeters preserving centimeter thumbnail leaving kilogram weighs scratch cause centimeters conversion signs fifty five miles per hour six kilometers per hour kilometers per hour miles per Britain converted light
2038.csv,Central America Latin America include Central South America Sao Paulo Brazil four years Panama Canal accommodate Panamanians Noriega no region not not toss dilemma country dominion power support Sandinistas support starts Soviet Union influence United States Democracy self-determination self-preservation not concerned Soviet influence United world situation United States
3325.csv,pet two cats two fish husband marry husband outdoorsman Marlboro person sporting dog black Labrador black Labrador ranch farm negotiated sleeps laundry room girls purebred line cat dog person chair cuddle course yard worst three eight months old not not kitchen baby gates hour home wallpaper wall floor home puppies eight months linoleum kitchen hole begonias yard porch husband dog dog boy pet cats
2024.csv,books subscription mother Texas art books mainly water color moment fiction books book Mardi Gras New Orleans history self-improvement
4033.csv,current information college professors three kids information six talking people regular channel channel eight channel eyewitness news elections not candidate news publicize
3367.csv,children women live lives people TV TV known
