Name,Topic
2648.csv,Earth Day pollutants pollutants air channel thirteen programs not programs environment Earth population increases cars cars population industry pollution incredible not pollutants air Pillsbury plant town adjacent chemicals toxic chemicals dough
2120.csv,ramifications England Margaret Thatcher Indira Gandhi India state woman president not president woman president observed
3050.csv,cause husband golfer six handicap twenty two years playing avid golfer clubs twenty years recently hook
4019.csv,Chuck pets home cat two years sassy tabby disposition Siamese cat girl reason
3500.csv,doctors lawyers whatnot national health insurance money money state Texas health insurance students doctors doctors doctors doctor premiums doctors
2078.csv,Sharon Nolan Ryan baseball million dollars football players football games
3028.csv,announce restaurant dining not price
3379.csv,Soviet Union United States struggle within Soviet Union people independence Gorbachev Communist
2586.csv,boat shore catfish Colorado mountains mountain streams rivers no
3508.csv,recycling newspapers boys Resurrection Lutheran Church paper Boy Scout troop quit city Plano Plano volunteer mothers library
3382.csv,books chance newspaper pilot space equipment
3061.csv,lose track cats dog indoor dog summer Cockapoo Cocker Spaniel Poodle companion shadow
3595.csv,Arlington Texas Arlington Virginia Birmingham names country truth college four years no Grace Kelly
3054.csv,not camped years Tyler State Park Dangerfield Texas Tyler facilities children kids camp Dangerfield east further east south further north Michigan camping Michigan Michigan Colorado mountains parents campers parents campers tent
4079.csv,budget family tighter controlled budget not tight budget track month expenses month month maintain budget
3338.csv,family
3018.csv,Thirtysomething comedy
3311.csv,twenty older Provo Utah Plano Texas UTD family vacations Arizona grandparents summer vacation Tempe
3979.csv,afternoon Doug pleasure chat Plano Texas list invasions Doug concerned country information organizations privacy people
3340.csv,drug testing Maryland Baltimore train conductors drugs terrible accidents five truck truck driver marijuana marijuana lunch cars Chesapeake Bay traffic fire field truck drivers drug tested drugs
3365.csv,Donna officer Air Force Club Mexican food dinner party
3369.csv,new movie shows rent Dance With Wolves
3040.csv,national deficit not income tax Texas
3057.csv,
2647.csv,parent child child experience college University Texas Austin students college thousand people cultures thousand students
3313.csv,discuss crime United States Richardson Maceo High School Dallas no mine college high school not rampages guns
3563.csv,Ron Ron Moore Dallas Maverick fan hurt bones Roy Tarpley Donald Carter owners management position playing national championship championship rebuilding phase Maverick fan Boston Celtics Boston Celtics situation team Boston Celtic fan Texas seventy four Dallas Dallas Mavericks
2041.csv,exercise attitudes student person exercise aerobics structured
3012.csv,hello Plano hi
2645.csv,hobbies hobbies handicrafts handicrafts handicraft writing knows fifteen twenty percent numbers somewhat classified internal news news services six fifty ten percent six fifty sixty five twenty percent thirty
4050.csv,oops button Melanie Harrisville Utah family reunions family reunion
2008.csv,hi Cynthia dress business home sweats kids meeting client suit regular clothes wardrobe suits jackets blouses limited wardrobe part-time blouses scarves belts casual wear wear jeans
4080.csv,shot market Texas gun control
4056.csv,Honeywell Minneapolis vision dental medical professor no doubt
2603.csv,task stationary bike regular bike bike outside stationary bike phones living room TV fish TV occupied watch TV bike bike not not
3550.csv,
2667.csv,
2619.csv,metric system United States country metric system pounds inches found secret seeming centimeters kilograms most minute inch fifty four centimeters math centimeters preserving centimeter thumbnail
2038.csv,Central America Latin America include Central South America Sao Paulo Brazil four years Panama Canal accommodate Panamanians Noriega no region not not toss dilemma country
3325.csv,pet two cats two fish husband marry husband outdoorsman Marlboro person sporting dog black Labrador black Labrador ranch farm negotiated sleeps laundry room girls purebred line cat dog person chair cuddle course yard worst three eight months old not not kitchen baby gates hour home wallpaper wall floor home puppies eight months linoleum kitchen hole begonias yard porch
2024.csv,books subscription mother Texas art books mainly water color moment fiction books
4033.csv,current information college professors three kids information six talking people regular channel channel eight channel eyewitness news
3367.csv,children women live lives
