Name,Topic
2586.csv,boat shore catfish Colorado mountains mountain streams rivers no fly fisherman not highly proficient explain fly fly fishing not weight four five six little rolls hand head no no fish upstream
3508.csv,recycling newspapers boys Resurrection Lutheran Church paper Boy Scout troop quit city Plano Plano volunteer mothers library newspapers plastic two cans convince dirty wash wasting effort
3382.csv,books chance newspaper pilot space equipment Gallagher comedians velcro finite universe infinite object
3061.csv,lose track cats dog indoor dog summer Cockapoo Cocker Spaniel Poodle companion shadow considerably not animal pet children pet dogs before
3595.csv,Arlington Texas Arlington Virginia Birmingham names country truth college four years no Grace Kelly Margaret Truman Daniels writes books British people movie
3054.csv,not camped years Tyler State Park Dangerfield Texas Tyler facilities children kids camp Dangerfield east further east south further north Michigan camping Michigan Michigan Colorado mountains parents campers parents campers tent comfortably children stacking cots beds cots floor space in-laws camper pop refrigerator business car camping trips near future
4079.csv,budget family tighter controlled budget not tight budget track month expenses month month maintain budget car amount payment
3338.csv,family beautiful Texas two sisters Texas Austin Dallas Dallas Austin hills trees Texas born raised Texan never sisters university Dallas admissions director University Texas Dallas closer four kids sports Halloween talent schools
3018.csv,Thirtysomething comedy nights people complained situations
3311.csv,twenty older Provo Utah Plano Texas UTD family vacations Arizona grandparents summer vacation Tempe family grandparents pool swimming swimming cousins grandparents cousins no Christmas
3979.csv,afternoon Doug pleasure chat Plano Texas list invasions Doug concerned country information organizations privacy people months sent business additional knowledge invasion privacy card company correct information records card dealer person private companies national protect people direct directly records detail
3340.csv,drug testing Maryland Baltimore train conductors drugs terrible accidents five truck truck driver marijuana marijuana lunch cars Chesapeake Bay traffic fire field truck drivers drug tested drugs short
3365.csv,Donna officer Air Force Club Mexican food dinner party bachelor nah capability no motivation charcoal grill potatoes
3369.csv,new movie shows rent Dance With Wolves South Dakota June dad lives state capital Pierre buffalo herd scene buffalo farm ten thousand head buffalo movie Pierre movie crowd John Red Eagle recognizing people video cassette attention
3040.csv,national deficit not income tax Texas Richardson reasons schools realizing schools
3057.csv,sake
2647.csv,parent child child experience college University Texas Austin students college thousand people cultures thousand students classes classes courses class college colleges cultures not students college students Waco Baylor Baylor UT Austin no no students Waco function group job friends not entire city university entire university friends classes clubs
3313.csv,discuss crime United States Richardson Maceo High School Dallas no mine college high school not rampages guns heavens crime prosecution impartial society street people woman Richardson paper two neighbors nobody police strange screaming society
3563.csv,Ron Ron Moore Dallas Maverick fan hurt bones Roy Tarpley Donald Carter owners management position playing national championship championship rebuilding phase Maverick fan Boston Celtics Boston Celtics situation team Boston Celtic fan Texas seventy four Dallas Dallas Mavericks games season ticket holder Cowboys kids school college Rolando Blackman Harper trade nucleus power opportunity play-offs coach Richie club Donald Carter team year owners management not
2041.csv,exercise attitudes student person exercise aerobics structured outdoor sports bicycling mountaineering person structured resistance sake not
3012.csv,hello Plano hi generations hate United States countries
2645.csv,hobbies hobbies handicrafts handicrafts handicraft writing knows fifteen twenty percent numbers somewhat classified internal news news services six fifty ten percent six fifty sixty five twenty percent thirty opportunities Colorado Springs specifically painful death government tool control specialist
4050.csv,oops button Melanie Harrisville Utah family reunions family reunion boy word birthday
2008.csv,hi Cynthia dress business home sweats kids meeting client suit regular clothes wardrobe suits jackets blouses limited wardrobe part-time blouses scarves belts casual wear wear jeans shorts dress shorts not
4080.csv,shot market Texas gun control Nebraska no total ban weapons thirty eight truck Minneapolis Florida Minneapolis crime ridden protection purposes
4056.csv,Honeywell Minneapolis vision dental medical professor no doubt Honeywell Army Research Institute government organization holidays two sick leave benefits Twenty Twenty night Oregon nationalizing health care list
2603.csv,task stationary bike regular bike bike outside stationary bike phones living room TV fish TV occupied watch TV bike bike not not health club people conscious not
3550.csv,car car Honda Accord business traveling cars Toyota Camry Nissan Maxima competitors comparison automatics mine pickup Avis Avis not Avis not corporate contracts companies destination TI
2667.csv,excuse not exercise beginning TI fitness center aerobics classes two months three nights hour half four half hours sixty dollars money three times class TI hours caught class Colorado Springs TI boy
2619.csv,metric system United States country metric system pounds inches found secret seeming centimeters kilograms most minute inch fifty four centimeters math centimeters preserving centimeter thumbnail leaving kilogram weighs scratch cause centimeters conversion signs fifty five miles per hour six kilometers per hour kilometers per hour miles per Britain converted light America history never giving weights transition period weights kilometers kilometers weights kilograms people constantly package
2038.csv,Central America Latin America include Central South America Sao Paulo Brazil four years Panama Canal accommodate Panamanians Noriega no region not not toss dilemma country dominion power support Sandinistas support starts Soviet Union influence United States Democracy self-determination self-preservation not concerned Soviet influence United world situation United States family region Spanish control government greedy rulers
3325.csv,pet two cats two fish husband marry husband outdoorsman Marlboro person sporting dog black Labrador black Labrador ranch farm negotiated sleeps laundry room girls purebred line cat dog person chair cuddle course yard worst three eight months old not not kitchen baby gates hour home wallpaper wall floor home puppies eight months linoleum kitchen hole begonias yard porch husband dog dog boy pet cats heart heart no
2024.csv,books subscription mother Texas art books mainly water color moment fiction books book Mardi Gras New Orleans history self-improvement self-improvement
4033.csv,current information college professors three kids information six talking people regular channel channel eight channel eyewitness news elections not candidate news publicize news news stories violent crimes catastrophes current letters elections economy magazines information
3367.csv,children women live lives people TV TV known Bible tooth life life
