Story,Section
"and in that, and its properties were great, uh, with, uh, the machinery, didn't have to have lots of expensive machinery to, uh, get your heating and cooling cycles to work.",0
Um.,0
So.,0
Have they stopped that practice now?,1
"Well, course there's a, a tremendous number of refrigerators and excuse me, refrigerators and freezers, both commercial and residential, uh, utilizing freon twelve,",1
"and of course, the new cars, I guess starting with nineteen ninety-three will not have freon twelve in their systems.",1
"But, uh, there's, you know, the ton of after market machines, and et cetera, et cetera.",1
Yeah.,1
"And that's got me very, you know, highly concerned that, uh, that's going to be quite a while before we can, uh, undo this.",1
"Now, that could spawn several good industries and help, pull us out of this recession,",1
"but you got to have people that can make, you know, earn a salary to pay for this conversion.",1
"So, so I see us in a kind, somewhat of a catch twenty-two unless we, unless the banks or industry and or the government go together and, and come up with a way to, uh, have us as a part of the unemployed society be able to be gainfully employed again converting all this freon twelve stuff into the new nonpolluting, uh, compound.",1
"Oh, yeah.",0
"Because as I say, there's a, there's a",0
"well, how many, uh, uh, families own a refrigerator,",0
"and then do, you know, that number, and then how many a, a freezer separate from and how many people, especially here in Texas, own cars and trucks with air conditioning.",0
Uh-huh.,0
Yeah,0
yeah.,0
"I mean, this is, there, there are people that, that make it, have a thriving business, uh, that do nothing but heating and air conditioning on, on automobiles and trucks,",0
"and, uh, the only reason I didn't, uh, get into that more, when I was, had my little business, was because, uh, most of your, uh, air conditioning in, in, on vehicles tend to be greasy and dirty to the N-th degree",0
Uh-huh.,0
"and I mean,",0
"so, uh, that's why I stayed in, stayed more towards, uh, uh,",0
"and that's a polluting type deal too, is the excessive, um, you know, uh, petroleum products in your engine bay and so forth, and the dirt and grit and those two mixed together with, with water and, uh, like knocking on a really make, uh, make a mess.",0
"Um, yeah,",0
"yeah,",0
"I hate to see a car going down the street, or even a truck or bus for that matter, that's putting out a lot of dark smoke,",0
Uh-huh.,0
"and I know there's a lot of pollutants we can't even see coming out of cars,",0
Right.,0
"but that, that particular bothers me.",0
"Well, most, most, most of the time when you see bus, uh, you know, the busses with the diesel that's, uh, those are carbon particles, and carbon dioxide and water vapor, uh,",0
Uh-huh.,0
"because when you, when diesel is burned it's it,",1
"you know diesel fuel is burned in a, in the diesel engine",1
"it's burned so completely, that you don't have any, uh, nitrous oxides, uh, or oxides of nitrogen, uh, to, uh, form because of, by virtue of the very combustion process of the diesel engine, because diesel oil is, uh, is not very volatile. You know, where gasoline, if you leave a little pail of gasoline out before long it's gone.",1
Oh.,1
Uh-huh.,1
Yeah.,1
"Diesel is going to be around, because it doesn't evaporate easily,",1
"and it's got,",1
"well, you know, its latent heat is high,",1
"but it's slow burning at, at, uh, normal pressures.",1
"That's why your diesel engines have such high compression ratios as the, as the air is heated, you know, by virtue of the compression process to like one to nineteen or nineteen to one ratio",1
"Oh, I see.",0
Uh-huh.,0
Uh-huh.,0
What?,0
Do you want to start?,0
"Uh, you hit, you hit, uh,",0
it doesn't matter.,0
"Um, we're discussing the capital punishment, I believe.",0
Right.,0
You are right.,0
Yeah.,0
"I, I suppose I should have,",0
"Uh, which",0
"I am, am pro capital punishment except that I don't like the way it's done.",0
Uh-huh.,0
"Uh, yeah,",0
"uh, I, uh, I guess, I, I hate to see anyone die, uh",0
Uh-huh.,0
"but, uh, I guess these people that go around and, and kill children and women and everything else without any remorse, uh, I don't think they deserve to, to live and be supported by us the rest of their lives.",0
"I, I agree.",0
"I, I'm,",0
capital,0
"the, the,",0
"capital punishment is necessary in, in many cases",0
"but, uh, the,",0
"it's not a deterrent, um, or our jails would not be so full.",0
There wouldn't be so many people in Death Row.,0
Uh-huh.,0
"I think it needs to be something, uh, uh, a throwback to where they did a, uh, public execution where it's visible.",1
Yeah.,1
"Uh, something, you know, not gruesome",1
"but, but something more where people know that it, it was a deterrent and it was equal for all people.",1
"If you committed a certain crime, you were going to receive a death penalty",1
and it was going to happen to you.,1
Yeah.,1
No stays of execution.,1
"No, no loopholes,",1
"no,",1
"Well, and even, even that I don't really know if that would help.",1
"I think a lot of these people do it, uh, mainly because of, of T V",1
"and,",1
Notoriety.,1
"the double reason they, they see it being done on T V and also the fact of, of notoriety.",1
"I mean, they become well known.",1
"They are almost like, like a big star.",1
"yes,",1
"but, but they, they know that their chances of actually receiving the death penalty are minimal.",1
Yeah.,1
They know that they will probably be out in ten to twelve years.,1
Uh-huh.,1
That they are going to write a book.,1
They are going to go on talk shows,1
they're,1
"that, that, that's a reward uh, for a heinous crime rather than, uh, having them pay the penalty which is forfeiture of their life.",1
Yeah.,1
Right.,1
"In, in complete, uh,",1
of any notoriety.,1
Yeah.,1
"Well, I, I, I think if they went according to, uh, the BIBLE where it does say, an eye for an eye, a tooth for a tooth, a life for a life,",0
Uh-huh.,0
Right.,0
"uh, you take a life you give yours.",0
Right.,0
"Uh, uh, that's for sure.",0
"Uh, there's exceptions to the rule",0
"I mean if, if it's an accidental taking then, uh, you look at that",0
"but, you know, most of these people that down right go right and, and do it out of pure pleasure uh, I don't, uh, like to see that.",1
Uh-huh.,1
"I guess also the fact that they say it's not a deterrent,",1
"it is a deterrent in the, in the sense that that person will never do it again",1
"Well, yes,",1
they will.,1
"Not, not, not if he's killed he can't, do it again.",1
"It,",1
"Oh, ,",1
"well, that's correct,",1
yes.,1
"if, if he indeed receives the death penalty and it is, it is executed.",1
The death penalty.,1
Uh-huh.,1
Yeah.,1
"But, but the, the, the chances are not great that that will happen.",1
Right.,1
But there's a greater chance that he'll be back out on the streets in twelve years.,1
"Uh-huh,",1
yeah.,1
"Well, I, I guess I'm also looking at beyond even that.",1
"I, I, I guess I been thinking about it",1
and I don't have a definite opinion,1
"but, uh, repeat, uh, crimes uh, maybe not the, the more mild ones but, you know, a more severe ones especially on, on armed robbery and stuff where they been taking from elderly people, and not just taking the money but beating them half to death.",1
Uh-huh.,1
Uh-huh.,1
That's right.,1
Just for pleasure too,1
and I guess you've got to look at something like that.,1
Yes.,1
"Do they deserve to, uh, remain on this earth too?",1
"Why, you know, you could carry it to that if, uh, if they are a repeat offender",1
"and, and you know that as soon as you let them out on the streets they are going to do this.",1
"Unfortunately the way our system of jurisprudence is set up, um, you only receive the death penalty for capital crimes,",1
Right.,1
"and of course uh, of battery or assault or, that is not a capital crime see.",1
"You, you wouldn't be able to under our system.",1
Right.,1
Now China and a few other countries have a little different view of that.,0
"Um, you get caught with dope there and you die, period.",0
Yeah.,0
Uh-huh.,0
"There is, there is no, no appeals.",0
"There is no,",0
Okay.,0
Wonderful touch tone telephone there.,0
"Uh, what kind of books do you enjoy reading?",0
"Uh, haven't, have, I have a wide variety of, of hobbies,",0
"therefore, my, my reading pleasures are quite wide.",0
"Um, I get a charge out of, uh, TEXAS HIGHWAY, which is, uh, very colorful, and, uh, not being a native of Texas, but being here eleven years have a tendency to, uh, find out the, uh, about the different areas of the of the, of the state by reading it.",0
Oh.,0
"Right,",0
I've read that one too.,0
"I only had a subscription once,",0
but my mother always gave me hers,0
"and I, I really enjoyed, you know, all the little things that you find out about Texas.",0
"Oh yeah,",0
"it's, it's, uh, absolutely, it's great the way that it's broken out and you can, uh, set up little trips and day trips and things.",0
"It's pretty, pretty neat.",0
"Um, oh, I like photography, um, magazines.",0
I don't take a subscription or anything like that.,0
"Um, things, oh,",0
"being an engineer in facilities I do read a lot of, a lot of, uh, building magazines and, and, and plant engineering magazines and, read up on different ways to do things and energy management type of magazines",0
"and, and, uh, kind of strange because I, it's not unusual to, uh, see, uh, an engineering manual or something laying around the house",0
Uh-huh.,0
"and then I'll sit up and read just to refresh, uh, you know, to keep active on it,",0
"but, uh.",0
Uh-huh.,0
How about yourself?,0
"Well, um, I have an interest in art,",0
"so I, frequently purchase and read, uh, books, mainly on water color because that's my big interest at the moment.",0
"Oh, that's great.",0
"And, uh, oh, I guess I like a variety of things, uh, lots of fiction, uh, type books.",0
"Uh, right now I'm occasionally reading on a book about, uh, the Mardi Gras in New Orleans and its history.",0
Uh-huh.,0
That's fairly interesting.,0
"I bet that would be, rather interesting.",0
"Uh, that's, uh, self improvement,",0
"that's, that's well, that's kind of a hobby",0
"but it is self improvement from the standpoint of probably relaxing, uh.",0
"Yeah,",0
I don't know that I read anything strictly labeled self improvement.,0
How about you?,0
"Um, well I hate to,",0
"yes,",0
I do,0
"We, uh, we have these classes we attend, uh, management classes",1
"and, and they give you books",1
"and, and the last book, uh, matter of fact I read was, AT AMERICA'S SERVICE by Carl Albrecht .",1
"It talks about, uh, who the customer is and being customer oriented, uh, which falls in line with the T I culture here at Texas Instruments.",1
Yeah.,1
"Uh, one of its great slogans is if you're not serving the customer, you better be serving someone who is.",1
Uh-huh.,1
"Uh, so that's all in self improvement to stay focused on who the customer is",1
"and as you probably well know, all of us are our own customer.",1
"You're my customer, I'm your customer, sort of thing.",1
Right.,1
"Um, every now and then I'm loaned a tape I can stick in the, uh, in the car cassette set on the way home to make the drive more enjoyable, talking about, uh, better outlooks on things and the philosophy of, of Pat Hagerty and these kind of, uh, mind stimulating philosophy type. Which all, you know, betters yourself.",1
Yeah.,2
"Yeah,",2
"yeah,",2
"well, uh, maybe I am into some things occasionally that I don't think of in terms of self improvement.",2
Uh-huh.,2
I mean they are,2
but I don't label it as such.,2
Like what for example.,2
"Well, I don't know, um,",2
"I, uh, have attended some seminars that had some tapes that went with them, but, uh, I guess not so much books although they sometimes have manuals and things,",2
"but, uh, they would be things on like how to be successful and sort of talking to yourself. You know getting your, yourself in gear to, uh, sort of pull yourself up by your boot straps and do what you really want to do. Convincing you that you need to get on with it.",2
Sure.,2
Sure.,2
"How about items like, um, THE ONE MINUTE MANAGER, which used to be a big,",2
okay.,2
Yes.,2
So those are self improvements.,2
Sure.,2
"Um, our supervisor, uh, subtly bought all of us a book called WHAT EVERY SUPERVISOR SHOULD KNOW. By a man, man named Doctor Bittel, B I T T E L it",2
Um.,2
"and it's a very layman's, uh, uh, approach towards managing different types of people.",2
"And the very last chapter, and I haven't figured out why that one was last, is how to manage engineers",2
"So it's, it's it's interesting,",2
"here again it's, it's casual reading",2
"and it's not eaten up with a lot of, uh, mechanical stuff",2
and it's really excellent fast reading,2
"and, uh, but as you say it's, it's sometimes it's difficult to, to know if it's, you know,",2
"I think if somebody would say hey, read these ten books because these are self-improvements, I would probably be turned off to them.",2
"Yeah,",2
yeah.,2
"If he casually just walked into it and, uh, put down a Stephen King book and I picked up one of them I might be a little more interested.",2
"I don't know,",2
I'm not sure I could take too much of Stephen King.,0
"That's a little, little heavy for me.",0
"Yeah,",0
"they're, uh, quite, uh, they're hard to set down because it's so interesting",0
"and, of course, they're all just a little spookier than the movies,",0
"but, uh, it's always, they're always challenging to get through one of them.",0
Yeah.,0
I have a hard time finishing books.,0
"Well I guess I also have been reading, uh, a lot of things on, uh, quality improvement and that type of thing because that's what I'm involved in a lot at work.",0
Uh-huh.,0
"In quality, especially now days, uh, that's almost everything that comes across the, the, the airways .",2
"Oh, yeah,",2
you could almost label everything quality in some sense or other,2
"but, uh, I think sometimes the word is a little over used",2
"Exactly, exactly right.",2
"but,",2
"Yeah, we, we have, I think we, we name drop it a little too much and, and don't fully understand what, what it is we're saying.",2
I think it's just focusing in on the issue and walking your talk,2
"and, and all that kind of rolls in together there,",2
Yeah.,2
"but, uh, that's just kind of part of it.",2
"Okay,",2
"well, any other comments.",0
"Uh, not that I can think of.",0
"Um, I think I'm under my quota a little bit.",0
I need to probably make a phone call or two,0
"Well we just started,",0
right.,0
"Uh, this is true.",0
I've enjoyed it.,0
"Well you too,",0
"and uh, good-bye.",0
Have a good day.,0
Good-bye.,0
Bye-bye,0
"Well, have you seen a new movie lately?",0
"Well, uh, I am a student",0
"and I have, uh, been actually watching more movies on video, than being able to go out to see, uh, movies at the store, or at the theater.",0
Uh-huh.,0
"Uh, I I want to see the FISHER KING and, and, uh, catch ROBIN HOOD.",0
Okay.,0
"I, uh, I haven't seen either one of those.",0
"Uh, what, what are some of the shows that you have been able to rent though?",0
"Uh, let's see.",0
"Uh, I'm trying to just think of the ones that have come on.",0
"Uh, WHITE PALACE which I thought was over rated, over hyped, um, recently.",0
"Well, you're catching me at, it, uh, uh, at mind's end here.",0
What have you seen recently?,0
"Well, maybe you, uh, you have seen DANCES WITH WOLVES.",1
Yes.,1
Okay.,1
Yes.,1
What did you think of that one?,1
Enjoyed that quite a bit.,1
"Um, I thought the, uh, the the cinematography was excellent.",1
Uh-huh.,1
"Uh, the story was,",1
"uh, though it tended to be a little one sided uh, it was good.",1
Yeah.,1
"Uh, it was, it was believable.",1
"I, uh, I just moved down, in fact, from South Dakota in, in June,",2
"and that's when the movie was filmed,",2
Uh-huh.,2
"and, uh, we, when, when the movie came out, we went,",2
"uh, my dad lives in the state capital, which is Pierre",2
Uh-huh.,2
and it was filmed right outside of Pierre.,2
"In fact, the buffalo, the scene, the big buffalo herd scene, that was, that was a live scene.",2
Wow.,2
"Uh, there's a guy that has got a, a buffalo farm,",2
"and he has got over ten thousand head of buffalo and, and, uh, we, my dad has got a little plane, we flew over it all looked at the buffalo,",2
it was really neat.,0
"But, uh, so we are watching the, the movie in the movie theater in Pierre",2
Uh-huh.,2
"and, uh, just every time I would start to get into the movie, and it was getting good someone in the crowd would yell, hey, there's John Red Eagle, you know",2
Uh-huh.,2
"or, you know, they'd start recognizing people.",2
"They knew, they knew the extras or the,",2
Yeah.,2
"So, I kind of, I think I enjoyed it more when I, when I watched it on video cassette than I did, uh, in the movie theater because my attention would get diverted every time they'd say that.",2
"I'd go now, now which one could that be you know,",2
Uh-huh.,2
"and I'd, I'd start trying to focus in on people instead of, of picking up the overall,",2
Scope.,2
Right.,2
Exactly.,2
Uh-huh.,2
"So, but I, I thought it was a good film.",0
"But you are right,",0
"I think, I think it was very one sided.",0
"It, it was,",0
"but it's a side that hasn't been told. Uh, as far as, you know, telling it from, you know, the Indians as the good guys and the, the white men as the bad guys.",1
"I, I really thought about, uh, all the, the westerns that we have seen for years and years,",1
Sure.,1
"and it's just, shoot the Indians,",1
and they are always the savages.,1
Right.,1
"So,",1
"In fact, I was watching WILD WILD WEST last night",1
"and, it was a similar, uh, situation with the Iroquois Indians attacking a, an army fort.",1
Uh-huh.,1
"Um, but it was an interesting movie.",1
"Uh, have you seen PRETTY WOMAN?",1
Yes.,1
Now I thought that was a good show.,1
Yeah.,1
"That was, that was a good movie.",1
"Um, it was just kind of a get away movie.",1
Yeah.,1
"Kind of,",1
"It didn't, uh, it didn't have any real social bearing",1
"or, uh, and it wasn't really a comedy,",1
but it was an enjoyable movie.,1
"It was, it was kind of like the STAR WARS series, you know, just something a little different,  yet  believable.",1
Uh-huh.,0
Right.,0
Yes.,0
"You're bringing it,",0
"I don't know,",0
"I had a, I sure did have a mind lock about the movies I've seen.",0
"But, yeah,",0
"I've seen PRETTY WOMAN and DANCES WITH WOLVES,",0
"and, uh,",0
"Uh, now are you, are you going to see, or do you, are you much of a STAR TREK fan,",2
are you going to see this next one that's coming out?,2
"Oh, definitely.",2
Have you seen the rest?,2
Yes.,2
I think I've missed one.,2
"I'm not sure,",2
but I think I've missed one.,2
"I actually went to the STAR TREK twenty fifth anniversary marathon that happened about a month ago,",2
and they showed all five in a row.,2
Was that here in Dallas?,2
"Oh, they had it everywhere,",2
"uh, every major city had one theater that did it",2
"and,",2
Okay.,2
Because we had one here in Dallas.,2
"Right,",2
"and they did it in Houston,",2
"they did it, well, they did it everywhere.",2
"And it was, it was really good to see all the movies and how the story developed,",2
"and the thing that I didn't realize is that if you watch the movies in a row, uh, time wise they happen one after another and just no, no time between them,",2
Uh-huh.,0
"but you can watch the characters develop,",0
"Well, what I believe is one of the major uh, things that is wrong with our public school system is that, um, we do not have enough discipline",0
Uh-huh.,0
and the parents do not let the teachers discipline the children the way that they need to be disciplined right now.,0
Uh-huh.,0
Uh-huh.,0
I agree with that.,0
"Uh, when I went to school, I know I was scared to death about being disciplined,",1
You were?,1
and the discipline that my daughter receives now in going to school is just totally different.,1
Uh-huh.,1
Uh-huh.,1
"You know, you just, you did not see, I did not see anybody in my classrooms, when I was going to school, act up the way that kids do these days in the classroom.",1
Yeah.,1
"Yeah,",1
yeah.,1
"From what I understand, they act up pretty bad",1
"Yeah,",1
"that's right,",1
that's right.,1
"What, uh,  grade is your daughter in?",2
"My, my daughter's in the, um, fourth grade",2
"Uh-huh,",2
uh-huh.,2
"and, um, there's children in her classroom that just totally disrupt the classroom, where the teacher cannot teach",0
"Uh-huh,",0
uh-huh.,0
Yeah.,0
and when I went to school that just wasn't put up with.,1
"Oh, no,",1
uh-huh.,1
They always had a paddle in our school.,1
Uh-huh.,1
"Well, they, they just don't do that any more.",1
I know.,1
"But the school system's afraid of getting sued and, um, all sorts of lawsuits I'm sure because of things like that.",1
Uh-huh.,1
"Yeah,",1
yeah.,1
"And, I also believe we don't, even though I feel like I pay a good share towards the school system, that the teachers are still underpaid",2
and we still don't have enough money towards put in toward public school.,2
"Uh-huh,",2
uh-huh.,2
Uh-huh.,2
"And, um, I think that if we had enough money and paid the teachers a little bit more, that maybe that could solve some of our problems.",2
Yeah.,2
"Wasn't that what part of the lottery is going to go for, if we approve it?",2
Yes,2
"supposedly that's what it's suppose to go for,",2
"and you know, we'll just have to wait and see whether that's approved or not.",2
Uh-huh.,2
"You know, I don't know your feelings toward that.",2
I guess we shouldn't get into that,2
"but, um, and what else, um,",2
I think in some ways that they need to be more careful of the teachers that they hire.,1
Uh-huh.,1
"I have heard stories, uh, from other parents that I know of, their children are in high school that teachers are out there giving drugs and selling drugs,",1
Uh-huh.,1
No.,1
Really?,1
"Oh, yeah,",1
Ooh.,1
"I've, I've heard some horrible, horrible stories about high, high school teachers",1
Uh-huh.,1
"and, you know, to be, be more careful of the teachers that we place in our school.",1
Uh-huh. Um.,1
"Um, that's basically about all that I know that may be wrong with the school system.",1
"I think, with what they have to work with, I think they're doing a pretty good job right now.",1
"Oh, I do too,",1
I think they're doing real good job.,1
"Uh-huh,",1
so.,1
"But, then, what do I know,",0
I don't have any kids.,0
"No,",0
none at all,0
"Yeah,",0
"okay,",0
so this is probably a real hard subject for you.,0
"Oh, yeah",0
Yeah.,0
"Okay,",0
"well, I guess, um, we can discontinue our call now.",0
Okay.,0
It was a joy in talking with you.,0
"Well, it was good talking to you too.",0
"Okay,",0
thanks.,0
"We'll see you,",0
bye-bye.,0
Bye,0
"Well, tell me about your home.",0
Okay.,0
"Uh, right now we're living in,",0
"well it's me, my wife and, uh, two young boys.",0
"And, uh, right now we're in a, uh, I guess it's either a zero lot line or a garden home. Which you might call it.",0
Uh-huh.,0
"So we don't have a, a big yard. Uh,",0
"but, uh, when my wife and I first moved in, it was just the two of us.",0
So it was enough.,0
Uh-huh.,0
"Uh, and it's, uh, I guess what they call a story and a half.",0
"Because it's not a full two story. Where, you know, everything on top is on bottom.",0
Yeah.,0
"So, it's got real high ceilings on half the house",0
and the other half is just standard sized ceilings.,0
Huh.,0
"And, uh, it's about a five year old house now.",0
It sounds nice.,0
"It's, uh, pretty nice.",0
"Unfortunately, the builder who built it went out of business already",2
"Oh, yeah?",2
Yeah.,2
"It was a,",2
Landmark is the one who built it.,2
Yeah.,2
"Well, you know, these guys that gambled high lost big you know.",2
Yeah.,0
That's true.,0
"And, uh I'm insulating myself from that problem.",0
Exactly what happened to them.,0
I'm building my own house.,0
"Oh, that's nice.",0
"And as I look out the window of my trailer, I can envision all the insulation that's going up today",0
"Oh, really.",0
Yeah.,0
Are you doing it yourself?,0
Yeah.,0
Wow.,0
I used to be a builder.,1
"Oh, that's nice.",1
And I retired about five years ago  and  started college.,1
"Oh, I  see.",1
Huh.,1
And now I'm a college educated builder,1
"There's still no work, you know.",1
Yeah.,1
"So, uh,  you know, I decided this summer that, uh, you know, we had enough credit on the credit cards to buy the materials",1
so I did.,0
That's great.,0
"And, uh, see the, the, the state has a law that says you cannot borrow the money to build your own home.",2
is that so?,2
I didn't know that.,2
You can borrow the  money to pay somebody else to build your house,2
but you can't borrow the money to build your own.,2
Well that sounds kind of dumb.,2
"Well, it's to protect the, the banks from guys that say yeah I want to build my own house and go out a build a spec home",2
Uh-huh.,2
and then it doesn't sell,2
and then the  bank's  holding the bag.,2
Yeah.,2
Yeah.,2
Well.,2
Huh.,2
"As, as you know, anything that involves the government is, works half as well as it's supposed to  costs three times as much. Right?",2
That's right,0
Hence the savings and loan problem we have.,0
"Yeah,",0
that's true.,0
"But, uh, you know, my home is, uh, fairly simple.",0
It's designed to be added on to.,0
Uh-huh.,0
That's good.,0
Yeah.,0
"Well, I figure it's just me and my wife",0
"but, you know, I like to do stuff with my hands and whatnot,",0
so  I want  to have a shop.,0
Yeah.,0
How big a lot do you got it on?,0
Ten acres.,0
Wow.,0
That's nice.,0
That's real nice.,0
"Well, yeah.",0
It's really nice too because I can't see my nearest neighbor.,0
He's on the other side of a hill.,0
Oh.,0
And my second nearest neighbor is a dot on the horizon.,0
Seriously.,0
God.,0
That's pretty good.,0
"Well, in the winter time, I can see, see another guy",0
"but, you know, he's",0
Uh-huh.,0
"I can just make out his place, you know. I've got a thirty mile view to the east and about ten miles to the north.",0
Yeah.,0
Yeah.,0
"And, uh,",0
"Oh, that's pretty good.",0
Yeah.,0
"Well, I took a lot of time in choosing this site because the, the house has no heating or air conditioning.",1
Uh-huh.,1
"Oh, you, you, you don't plan on putting any, any of that in?",1
"Well, it's got a, a very small furnace.",1
Uh-huh.,1
"And a, uh, we'll use a wood burning stove as well.",1
Yeah.,1
"But, in the house itself, I've been working inside, you know, these, these many months",1
Uh-huh.,1
and I have not had to use the heat.,1
Wow.,1
