,Person,Conversation,Custom Tag,Custom Tag 2,Topic Description,Class
38,A,Right.,,,,1
39,A,"And I think even in the elections, they choose who they're going to follow and who they're not,",,,,1
40,A,"and basically you know, if a candidate can get them to follow, then the news will, you know, kind of publicize his name.",,,,1
41,B,Yeah.,,,,1
42,B,"Yeah,",,,,1
43,B,exactly.,,,,1
44,A,I don't think that the way I get the news is the right way to get it.,,,,1
45,A,I think you get a very lopsided picture of what's going on.,,,,1
46,B,"Uh-huh,",,,,1
47,B,"because they can, they can only report on, I mean,",,,,1
48,B,"they give each candidate perhaps, you know, ten second blurbs in which to, you know, to say, you, you just can't get a full picture of, you know their message unless you have time to sit down and and probably read something on it.",,,,1
49,A,Right.,,,,1
50,A,Right.,,,,1
51,A,"And the news, too, it just doesn't, um, cover that many stories,",,,,1
52,A,"I mean, it just covers your basic, you know, violent crimes and, you know, and, and your catastrophes with weather and stuff,",,,,1
53,B,Yeah.,,,,1
54,A,"but other than that, you really don't know what's going on.",minor topic end,,,1
55,B,Yeah.,,,,0
56,A,"Um, I will read our current letters that come out on elections",,,,0
57,A,"and, I guess I do read that,",,,,0
58,A,"and I do study who's running in our area,",,,,0
59,A,and I do study what's going on in the economy.,,,,0
60,A,"It, you know,",,,,0
61,A,"and, I guess I do read other magazines, um, too, to get my information.",,,,0
62,B,"What kind of, see,",,,,0
63,B,"I subscribe to like SCIENCE NEWS,",,,,0
64,B,"and that's, that's real good because it gives like a brief summary of, or like the updates, like of what's going on in science without getting into a lot of detail that would, you know, bog me down that I wouldn't know about",,,,0
65,A,Right.,,,,0
66,B,"but other than that I don't really read,",,,,0
67,B,"I don't, I don't really subscribe to anything else.",,,,0
68,A,I used to read every month a READER'S DIGEST,,,,0
69,B,Uh-huh.,,,,0
70,A,"but, um, now I guess I just have friends that clip articles",,,,0
71,A,"or if I, you know, am interested in something, of course, during the when we were in war, I read up on that just a little in the newspaper to find out what was going on.",,,,0
72,B,"Oh, yeah.",major topic end,,,0
73,A,"But a lot of the times, I, you know, I wish I had the time to read all the stories in the newspaper,",off topic start,,talking about the wishes and the reasons why they cannot be completed.,2
74,A,but I just can't seem to find the time.,,,,2
75,B,Yeah.,,,,2
76,A,"If they put it out in a video, or on not a video but a cassette tape or something, where you could just listen to it I would do that while I was doing other things.",,,,2
77,B,Yeah.,,,,2
78,A,"But,",off topic end,,,2
79,B,"Well, I remember back during the, uh, during the war, everyone here at work always had the radio or the T V on, because that, they were going constantly with that stuff.",off topic start,,talking about some situations in war.,2
80,A,Right.,,,,2
81,B,"But, uh.",off topic end,,,2
82,A,"Well, I, um, they even did a story on our news here in Texas on what people wanted to see more of,",minor topic start,,talking about people's preference about news.,1
83,A,and people said that they wanted to see more on outside of Texas news.,,,,1
84,A,"You know, we just don't want to hear every night all the killings that went on here in Dallas",,,,1
85,B,Yeah.,,,,1
86,A,"that we want to hear what's going on with the economy, what's being done to help it, what's going on in other countries, what's, you know, just  more information.",minor topic end,,,1
87,B,"If they reported every,  if they reported every violent crime in Atlanta it would take, it would probably take the whole news hour",off topic start,,talking about the possible outcome of entirely covering just the criminal news.,2
88,A,Yeah.,,,,2
89,B,"But, uh.",off topic end ,,,2
90,A,"Well, I guess we'll get pretty good news coverage in a couple of years when you host the, uh, summer olympics",off topic start,,talking about the olympics and its media coverage.,2
91,B,"Oh, yeah,",,,,2
92,B,"that's,",,,,2
93,B,"they start, already they're having like, um,",,,,2
94,B,"in the newspaper they have a section, I think, every now and then, on the Olympics, you know,",,,,2
95,B,"and they've got like a countdown,",,,,2
96,B,it's like sixteen hundred days or something.,,,,2
97,A,"I know, we're trying to get tickets to it right now.",,,,2
98,B,"Oh, really?",,,,2
99,A,Yeah.,,,,2
100,B,That's going to be crazy that time of year here.,,,,2
101,B,"But, uh.",,,,2
102,A,Yeah.,,,,2
103,B,"I can't believe, I mean,",,,,2
104,B,"they're, they're stretching out the Olympic news for that much coverage over,",,,,2
105,B,I guess people want to hear about it.,off topic end,,,2
106,B,"Also big in the news right now is the Braves, because they're, uh, they're in, you know, spring training or whatever",off topic start,,talking about another sports team,2
107,A,"Right,",,,,2
108,A,right.,,,,2
109,B,and they did so well last year.,,,,2
110,A,"Yeah,",off topic end,,,2
111,A,"they spent a lot of time, that's another thing, they spend a long time on sports,",minor topic start,,talking about how news through media coverage could be made more efficient .,1
112,A,"and I think that, um, that's fine, I would like to see more time spent on other things.",,,,1
113,B,Yeah.,,,,1
114,A,But.,,,,1
115,B,"It seems like,",,,,1
116,B,"I don't know,",,,,1
117,B,"they way they do the newscasts, I wish they, they kind of separated it, you know,",,,,1
118,B,if you wanted to watch one thing you could turn to some channel for it,,,,1
119,B,but I don't have cable.,minor topic end ,,,1
